Crop,Soil_Type,Temperature,Humidity,Soil_Moisture,Rainfall,Growth_Stage,Irrigation_Need
Cotton,Sandy,21.773686564518876,82.54374503457777,36.67656164253178,60.13823734474841,Fruiting,Medium
Sugarcane,Loamy,33.498659344958256,61.51481640178875,45.32149572086921,122.71186096230278,Vegetative,Low
Rice,Clay,16.210015564153558,66.20831003117908,52.33520789972536,189.14768439789054,Fruiting,Low
Potato,Sandy,24.785107623847605,55.57441779127183,45.94926973001205,134.94834548761764,Maturity,Low
Cotton,Clay,29.05670983773404,49.37499071591067,49.455641583034335,156.58082871691198,Vegetative,Low
Wheat,Clay,19.438750023282175,88.66076609137487,33.88710050306341,73.36201895109376,Vegetative,Low
Rice,Silty,44.53963432772519,29.420952764022655,22.717207521810447,54.45087187689322,Fruiting,High
Potato,Loamy,21.272920937688426,51.383509228717095,13.787998186147155,90.85354864052451,Fruiting,High
Sugarcane,Loamy,18.910593901297965,45.84214309909065,25.678297799333414,161.42656574233473,Fruiting,High
Sugarcane,Loamy,21.10604621660689,57.36130401883613,56.55549132046264,91.25992835811117,Fruiting,Low
Groundnut,Silty,38.07183399479173,54.32239059088813,72.88923582425059,169.3450817579722,Seedling,Medium
Potato,Silty,27.765169778155283,58.916714873831104,23.539807795431564,197.7543961390254,Flowering,Medium
Tomato,Loamy,31.96247819257614,30.493923292024554,18.684428621811875,14.405333146067267,Flowering,High
Maize,Silty,15.630274709590822,58.48561261349578,69.94322884394002,9.082031216740738,Maturity,Low
Cotton,Silty,16.032939257199438,38.18141104154081,34.41266644298317,29.917940582672365,Seedling,High
Potato,Silty,28.374766494810487,33.82485117411434,86.1199551381882,76.87393514686924,Vegetative,Low
Groundnut,Loamy,39.49965729604871,24.86256640896434,67.14543764882984,26.208441829086482,Fruiting,High
Maize,Loamy,41.55716636122696,77.19894190671056,36.14048377944247,174.1328955237512,Maturity,Medium
Maize,Loamy,17.601197027869205,52.058144064242,33.1634198234964,4.62925020541276,Vegetative,High
Rice,Silty,31.150893063030683,66.99827624838187,51.895870901704725,63.158543267164504,Flowering,Low
Maize,Loamy,42.39689058837811,74.56950074785576,16.331573462256756,36.93892589884107,Vegetative,High
Tomato,Silty,26.639182631936592,70.94874989851651,19.41412101162392,186.30786603150648,Fruiting,Medium
Sugarcane,Sandy,39.886974942851054,55.28755393172617,24.068630505295403,133.8962009780056,Fruiting,High
Groundnut,Silty,19.010869631983084,49.092389671379735,71.97788746436481,182.4060512902749,Flowering,Low
Maize,Clay,43.06183469003396,48.19699322304978,51.1085887415298,194.46574206207868,Fruiting,Medium
Rice,Loamy,37.54269952593908,68.00365976975422,10.845369821955435,99.41964873547384,Seedling,High
Tomato,Loamy,43.24003178360705,57.1095766206405,63.88132219776872,46.86382160960525,Maturity,Medium
Wheat,Clay,35.298517006575196,83.6849185991383,43.89521429283977,38.745757239317854,Flowering,High
Sugarcane,Silty,25.90211795998281,85.6026488245034,50.86818919710383,44.58377233716811,Flowering,Low
Sugarcane,Sandy,43.145435175741675,32.792028350488884,27.129299473034845,141.71866152440057,Vegetative,High
Groundnut,Clay,23.267003289275355,30.217523865929422,54.14257827152829,8.089145624600146,Flowering,High
Sugarcane,Clay,24.965175661851976,67.28006945269996,88.33225918011908,10.272214606542974,Maturity,Low
Maize,Silty,36.02425254005221,42.591931104670955,15.875575280460916,121.62858847663,Seedling,High
Rice,Loamy,37.95948898576159,21.392803907382415,32.71339197315445,128.41142934748132,Vegetative,High
Sugarcane,Silty,42.882104515474616,86.64820020222163,29.43980742886638,133.05258486449202,Maturity,High
Sugarcane,Clay,21.144072271686284,37.01755754328562,29.883944860094367,74.37610091771825,Flowering,High
Wheat,Clay,38.939941056576714,89.69604887643568,40.29650860523019,161.18897774283062,Fruiting,High
Wheat,Loamy,37.156381601908905,73.80758381586902,75.4487827795334,106.72491754532352,Fruiting,Medium
Cotton,Loamy,16.913836687607937,77.19901174336132,83.028695197151,21.09312600188389,Maturity,Low
Tomato,Loamy,26.61669423630621,35.109612184487034,26.177206996717864,159.41986141346905,Seedling,High
Maize,Silty,23.48296371180296,37.56458192126097,53.43599503584902,190.61355725409166,Fruiting,Medium
Sugarcane,Loamy,24.13471273062091,59.09508153680493,60.95191777323842,12.007262600471735,Maturity,Low
Potato,Clay,44.488406386641024,32.90748894873966,51.7461979491076,78.27026774011598,Vegetative,Medium
Sugarcane,Clay,34.283322404397836,42.90737695122742,44.72611153575357,97.50320896694953,Flowering,High
Rice,Sandy,36.53028473380499,44.109685846085334,25.358040468739027,29.29415201566339,Seedling,High
Cotton,Silty,44.29852911945028,31.972244993957307,49.05754873593908,173.54178955657542,Seedling,Medium
Tomato,Sandy,26.316053473729163,35.388712504637056,42.09718621690631,56.8299289780088,Vegetative,Medium
Potato,Clay,39.055205053584174,79.14138815061924,73.64506900018156,156.601707987632,Seedling,Low
Cotton,Sandy,28.03592889913486,32.539689091045126,71.08834873303962,134.1988964056632,Maturity,Low
Groundnut,Clay,41.0860101544494,22.134304388294186,20.719894496453655,119.60916449340469,Seedling,High
Tomato,Sandy,20.419726239339095,67.20162069717038,17.081524205045405,38.42856973931088,Seedling,Medium
Sugarcane,Loamy,43.43058531192839,93.19873395443375,82.65231545820023,44.14070411018114,Seedling,Medium
Sugarcane,Sandy,21.563151252326392,44.8410360967341,52.840671117159815,9.469680949313863,Maturity,Medium
Tomato,Loamy,24.786615209427946,28.899177739718922,78.62407498260725,48.14248595645327,Flowering,Medium
Sugarcane,Loamy,37.68576702320341,62.77904940256481,14.652089645312092,69.08872189210282,Fruiting,High
Maize,Silty,26.8126542469622,87.97656583217346,52.12124932173042,166.62906077248508,Seedling,Low
Tomato,Loamy,33.2463413029934,78.8046334871359,53.15412116609891,73.27853334296105,Vegetative,Low
Cotton,Loamy,28.337205032082856,66.6886901309537,78.856162603372,150.9243565531213,Vegetative,Low
Tomato,Sandy,37.27109811269345,43.62923724556995,17.808799858376602,87.88845625909751,Maturity,High
Potato,Clay,21.849937571058327,60.641012995716494,29.235645094072744,156.9736623987777,Flowering,Medium
Sugarcane,Silty,16.75373961710631,26.84336309781915,42.52306511096105,195.25432008740796,Seedling,Medium
Maize,Loamy,23.997881924191987,70.92090682105024,79.26731803359537,47.96831161151602,Maturity,Low
Maize,Silty,29.229259946052906,74.38220141732381,85.11066520564536,172.46832239277524,Fruiting,Low
Groundnut,Sandy,20.040601565780356,92.37737171824391,89.41796956749023,124.36481726115494,Flowering,Low
Cotton,Loamy,25.64391868969166,39.529801905880376,86.73547891668173,163.45885231773096,Flowering,Medium
Wheat,Sandy,26.999490548807056,21.3842314282267,10.475340467548353,130.31718045356104,Maturity,High
Wheat,Silty,16.721755310648206,60.9206348320363,13.816667316309763,84.78990145483003,Vegetative,Medium
Tomato,Sandy,32.499217445526135,73.00928782976109,21.80854553260709,45.61498788835807,Flowering,High
Groundnut,Silty,41.53030283913863,79.2805606912241,37.90896774162185,14.007045066233005,Vegetative,High
Rice,Sandy,19.552287388591573,34.5304199768608,76.3934424789567,107.1036728921434,Flowering,Medium
Tomato,Silty,32.93424040204542,39.631465177776775,81.41249562683844,198.06521890537311,Flowering,Medium
Groundnut,Clay,34.942176147325384,58.44431939504722,24.946752503566643,147.60836100284124,Flowering,High
Cotton,Sandy,27.58004041257865,44.79506074775014,59.57313212957669,65.46910827980332,Fruiting,Low
Cotton,Sandy,36.0329276209281,84.53836149405838,83.38895880522213,165.44096001734704,Vegetative,Low
Cotton,Clay,27.32194630473036,55.53201153040402,47.098538874505664,153.7968000352813,Fruiting,Low
Cotton,Clay,30.139118639323048,79.96839830765023,18.283485756222717,56.32715867069136,Vegetative,Medium
Cotton,Sandy,15.22059133663281,63.546482036176535,46.62509200677,2.861497958846937,Fruiting,Medium
Groundnut,Clay,35.75160342404067,77.9817606212834,40.06359218304458,23.63252770678992,Fruiting,High
Groundnut,Loamy,34.84028036834174,44.95047398977429,56.21263968528056,175.46123806241152,Fruiting,Medium
Maize,Silty,16.152026319790338,82.35624664477334,45.09269475256829,167.31260706097436,Maturity,Low
Potato,Silty,26.047503221853994,40.59292366632662,11.387674148297435,59.041800175672485,Fruiting,High
Wheat,Silty,44.37095522375002,60.95741060024681,89.5198186730937,57.03908525688408,Flowering,Medium
Sugarcane,Loamy,27.622096877058503,36.05053348804057,53.48321901844567,158.57299742049423,Seedling,Low
Cotton,Clay,30.05836215395525,55.6644891219645,47.89046043876876,187.5474939790844,Fruiting,Low
Rice,Clay,42.29790474479155,43.86314071315273,86.36938972032432,155.82745135951998,Seedling,Medium
Sugarcane,Sandy,36.51785627597269,40.002757297791064,22.46882940696617,121.1157354061523,Seedling,High
Groundnut,Clay,32.46210393372671,92.52387635210282,25.13900820361986,48.534270066360904,Flowering,High
Rice,Sandy,38.93414044023218,32.005557911504795,74.64117992502268,105.14958281905213,Seedling,Medium
Rice,Loamy,40.930987993679196,79.04943780930464,30.866486402000703,46.70237171865293,Seedling,High
Rice,Silty,28.706642152118008,93.81237196124111,73.93816850332215,161.60228401935473,Seedling,Low
Maize,Silty,29.25325094795506,21.492611280505837,31.722678632680203,77.39221590354745,Vegetative,Medium
Groundnut,Silty,26.581528069555073,72.42705605315712,12.655010418000119,166.73944339880524,Fruiting,Medium
Rice,Clay,44.001184200553816,38.96838541672153,51.36117791093728,76.32184359654505,Fruiting,High
Cotton,Sandy,35.91498762871051,23.036586824622834,25.73491473014891,164.82988103997826,Seedling,High
Tomato,Sandy,17.49669198624217,50.21671842174731,70.62770343459769,66.66356303304839,Flowering,Low
Rice,Loamy,40.88878869939055,90.14133576281563,61.29597065857185,88.02654092353397,Vegetative,Low
Maize,Clay,29.416798225088044,20.882382077524827,83.88821343823342,123.0976838685315,Flowering,Medium
Sugarcane,Loamy,17.062617192674622,64.09142689473363,72.63906858125887,14.057522805983735,Flowering,Medium
Groundnut,Sandy,31.491517654899333,57.60473589464932,24.462076387258147,189.64141236309288,Seedling,Medium
Potato,Sandy,27.51492836927106,85.50381232782856,74.0126589331837,114.72115722476065,Maturity,Low
Maize,Silty,41.33248214587874,26.300128589046924,61.33896358512186,101.56400293816046,Seedling,Medium
Rice,Clay,21.11983810828162,71.11445224149878,63.516131340849995,167.87879422398242,Maturity,Low
Groundnut,Sandy,39.79393828476549,71.00822738249579,76.5810308776119,173.15254597936553,Vegetative,Low
Tomato,Silty,31.730660735563582,70.18100126467124,55.905925535115216,104.4520809058032,Maturity,Low
Rice,Clay,16.638309096404072,90.67508712012777,47.28028114824103,185.45246515872748,Seedling,Low
Maize,Loamy,44.15535903976454,81.73156467551604,60.93128282869824,12.947553215296125,Seedling,Medium
Wheat,Clay,30.378457323095997,23.147954468262952,33.83659431666872,22.645158450243507,Flowering,High
Cotton,Clay,23.726305626947475,55.33121380283849,24.607770486967944,119.35764600288803,Seedling,Medium
Potato,Sandy,29.082205259677743,49.84647921510001,59.32702704569971,70.81317235871674,Seedling,Low
Sugarcane,Sandy,40.73573350552467,43.261041581810154,28.707869526838216,92.84503323783977,Fruiting,High
Maize,Clay,24.147093731551905,53.850254386557296,16.393208747728536,65.6158435794333,Fruiting,High
Groundnut,Sandy,20.78029189460101,48.81456386944831,10.044334766820313,80.94506228898712,Flowering,High
Potato,Sandy,18.872137407926445,52.4250424908999,58.66555211200537,164.5292694292599,Maturity,Low
Potato,Sandy,23.93578195170634,93.44463992064819,38.97190267841894,118.69523997086094,Maturity,Low
Potato,Silty,38.401442611201304,26.647473106218555,70.18487765387647,199.46890985669964,Fruiting,High
Rice,Silty,29.14879095585785,89.16731523790473,40.01411186504819,157.37583956419257,Vegetative,Low
Cotton,Clay,21.8244481108062,56.017753510327005,48.88027585905814,54.73325082036533,Fruiting,Low
Rice,Sandy,19.985549988292476,66.78066841246559,42.56679782523079,52.869023545339246,Vegetative,Low
Groundnut,Silty,24.981884295311374,82.26372249632703,62.04598328874769,67.17965402340143,Maturity,Low
