N,P,K,temperature,humidity,ph,rainfall,label
39,52,32,28.24,43.68,7.19,60.16,mothbeans
23,69,29,20.43,34.51,5.71,82.2,kidneybeans
75,53,48,32.13,92.68,7.34,230.27,jute
35,40,24,31.17,68.79,7.46,96.13,blackgram
22,54,29,20.47,35.57,6.25,40.84,lentil
11,8,32,28.03,91.23,5.97,290.27,coconut
78,51,42,21.5,84.27,5.71,237.55,rice
25,20,22,18.94,81.35,6.73,92.16,orange
90,60,66,26.71,54.09,6.95,45.06,muskmelon
113,65,46,31.71,58.72,6.09,57.78,watermelon
30,69,25,24.89,36.7,6.45,68.3,kidneybeans
81,49,59,24.1,50.99,7.2,81.04,watermelon
94,74,46,34.82,86.68,5.59,148.99,banana
22,55,22,28.57,47.77,5.71,101.11,pigeonpeas
32,50,19,25.26,29.96,6.89,60.86,mothbeans
72,57,64,32.43,78.77,6.25,180.03,banana
87,24,34,18.3,80.19,6.63,241.19,coffee
116,41,17,32.05,52.49,7.02,118.78,cotton
12,29,37,30.01,66.91,6.19,93.51,pomegranate
31,46,33,25.13,38.28,6.8,134.9,pigeonpeas
26,62,32,24.78,30.21,6.7,54.56,chickpea
90,36,29,24.86,76.92,6.18,109.28,maize
16,12,55,28.57,81.38,5.8,217.46,coconut
11,26,45,31.99,52.8,5.97,109.17,pomegranate
99,35,59,20.35,92.82,6.06,298.94,rice
22,45,23,22.9,31.45,6.35,132.63,pigeonpeas
29,138,144,15.23,70.9,6.25,97.13,grapes
33,45,28,26.98,62.21,6.37,54.25,blackgram
16,10,34,26.44,79.0,6.34,164.83,coconut
31,55,21,17.19,35.79,6.55,70.72,chickpea
40,58,18,31.44,63.37,7.15,82.32,blackgram
38,10,52,24.19,79.39,5.72,202.87,coconut
65,49,22,22.99,71.29,7.16,72.39,maize
109,60,64,31.74,93.64,6.32,199.3,banana
21,37,25,34.21,21.4,6.58,40.38,mothbeans
91,75,59,31.82,71.3,7.22,168.74,banana
44,68,33,21.73,41.75,5.7,99.53,kidneybeans
22,11,21,30.76,53.83,6.52,67.02,pomegranate
30,74,36,23.58,18.31,7.72,86.91,chickpea
37,14,60,24.03,70.69,7.15,179.92,coconut
12,39,16,27.92,52.38,5.27,130.89,orange
30,51,30,26.2,47.76,6.06,88.24,pigeonpeas
92,61,66,24.45,92.84,7.17,144.64,banana
107,77,39,31.93,82.51,7.29,237.98,banana
29,135,122,24.1,69.12,6.17,181.56,apple
40,69,36,18.01,35.91,5.58,72.88,kidneybeans
103,38,43,29.28,52.96,6.93,37.18,muskmelon
26,36,31,33.26,53.52,6.53,87.99,mungbean
38,55,35,27.6,53.94,6.86,47.38,mothbeans
35,21,54,31.56,76.82,5.84,222.6,coconut
60,38,38,25.87,69.94,6.7,99.9,maize
25,143,122,16.22,76.68,5.99,166.37,apple
37,29,25,27.71,70.62,7.32,227.76,coconut
36,48,22,20.51,40.11,5.92,70.54,kidneybeans
28,46,18,26.17,39.13,7.8,47.2,mothbeans
23,38,23,26.63,59.37,6.31,43.51,mungbean
19,47,16,26.21,40.1,7.53,56.84,lentil
95,69,65,33.39,55.17,6.04,57.14,watermelon
26,58,22,25.55,38.17,6.63,53.18,mungbean
37,64,37,25.03,48.41,6.45,99.8,pigeonpeas
35,47,32,23.17,53.17,6.77,85.96,pigeonpeas
28,45,17,28.35,36.48,7.14,112.76,pigeonpeas
40,53,19,22.98,40.65,5.65,71.99,kidneybeans
72,57,15,18.77,60.2,5.55,70.89,maize
110,36,37,24.07,85.82,5.03,133.94,coffee
22,58,27,22.85,39.53,6.51,76.17,chickpea
29,125,120,23.6,81.01,6.32,191.44,apple
25,26,45,24.47,59.78,5.58,167.43,orange
120,38,20,28.24,71.63,6.92,118.15,cotton
83,59,49,23.11,87.87,5.92,231.84,rice
36,24,27,28.97,75.88,6.62,293.53,coconut
20,149,155,29.5,70.94,6.12,54.98,grapes
13,51,18,28.47,43.39,6.31,78.31,lentil
91,54,56,34.44,79.96,5.97,83.62,watermelon
31,131,170,20.78,52.59,7.37,68.91,grapes
26,121,142,28.11,62.55,6.93,93.06,grapes
31,56,33,34.95,41.5,7.08,76.67,blackgram
14,21,48,20.06,43.33,7.38,61.98,pomegranate
29,54,40,21.31,22.78,7.22,78.65,chickpea
21,8,42,30.99,92.18,5.52,282.94,coconut
94,47,21,25.84,66.13,6.53,81.55,maize
28,55,24,26.62,42.59,6.98,43.65,lentil
12,143,164,20.79,69.92,6.35,94.46,grapes
93,61,61,31.74,64.78,7.33,69.35,watermelon
93,37,36,27.52,83.7,6.32,231.36,coffee
65,45,40,28.57,79.61,6.98,266.13,jute
100,50,45,33.19,88.25,7.0,179.42,jute
43,55,38,20.25,31.91,5.84,92.02,kidneybeans
106,17,20,22.76,79.61,5.29,144.08,coffee
35,59,33,32.39,29.71,6.56,78.17,mothbeans
22,58,18,20.69,32.19,6.48,107.53,kidneybeans
99,52,40,30.85,75.2,6.51,181.73,banana
40,45,24,20.36,20.48,5.69,80.68,kidneybeans
21,12,31,30.33,93.89,6.33,292.86,coconut
57,79,46,29.64,66.03,7.19,178.37,papaya
60,58,48,31.82,73.54,7.44,126.08,papaya
20,42,19,27.47,42.26,6.83,75.28,mungbean
42,28,25,30.48,61.01,5.91,125.19,mango
25,17,44,27.85,39.09,5.76,87.58,pomegranate
83,52,41,27.62,66.11,7.32,90.79,watermelon
44,60,24,22.53,23.07,6.83,85.15,kidneybeans
81,53,17,18.54,61.18,5.82,112.31,maize
27,109,138,23.31,60.46,5.91,100.37,apple
40,42,17,28.17,40.67,7.01,88.89,blackgram
21,47,44,19.36,34.23,7.25,65.28,chickpea
22,146,103,17.46,56.09,6.3,92.29,grapes
18,150,178,24.88,50.29,5.78,66.1,grapes
82,53,59,30.3,80.11,6.23,132.52,banana
118,42,15,29.28,62.72,7.93,86.15,cotton
94,53,47,20.78,84.83,5.95,175.98,rice
29,13,26,26.91,45.02,5.99,95.17,pomegranate
17,35,28,31.42,46.43,6.73,64.93,mungbean
99,59,65,34.36,82.96,6.2,135.11,banana
96,32,31,23.32,83.05,6.52,200.32,coffee
23,45,20,25.97,37.16,7.2,80.65,mungbean
61,52,19,26.65,58.72,6.33,65.12,maize
29,73,26,20.44,36.82,7.68,57.44,chickpea
43,69,31,23.54,18.01,7.09,50.23,chickpea
40,62,38,20.72,16.5,7.12,88.31,chickpea
16,123,176,17.47,80.05,6.61,167.22,apple
75,54,44,27.45,92.17,5.86,262.63,rice
42,54,19,18.18,36.15,6.46,77.03,kidneybeans
77,44,45,22.43,63.14,6.31,197.01,papaya
95,54,37,33.79,81.79,6.99,171.01,jute
26,50,23,26.82,50.17,6.65,62.91,blackgram
44,45,40,22.74,40.71,5.94,60.72,kidneybeans
43,27,35,28.53,69.1,6.4,165.67,mango
41,41,40,28.65,55.92,5.55,113.56,mango
31,29,59,25.88,72.51,5.8,255.31,coconut
44,53,55,30.09,64.74,7.29,144.75,papaya
35,122,149,16.53,61.99,5.82,119.18,apple
30,65,40,24.42,20.87,6.8,56.1,chickpea
23,28,47,22.35,47.83,6.74,61.16,pomegranate
23,65,41,20.04,34.39,7.93,58.15,chickpea
79,51,45,28.05,59.64,6.24,40.26,muskmelon
28,121,139,20.97,74.17,6.55,165.05,apple
86,54,63,32.84,65.58,7.29,49.57,muskmelon
71,51,55,30.25,79.22,7.37,38.09,muskmelon
50,16,42,28.17,60.26,6.63,111.34,mango
29,36,57,32.78,76.86,7.46,81.07,mango
123,45,36,24.39,58.94,5.53,98.17,cotton
33,25,44,27.91,72.85,5.67,200.93,coconut
33,20,24,27.92,39.44,6.68,83.77,pomegranate
92,42,46,20.63,75.51,6.93,275.4,rice
100,55,46,29.94,73.75,6.71,56.83,muskmelon
91,58,40,30.88,79.8,7.48,221.82,jute
59,57,40,34.05,78.1,6.3,191.96,papaya
22,48,18,30.72,48.19,7.52,37.69,mothbeans
90,46,24,21.34,79.69,5.58,112.02,maize
29,32,42,30.95,50.28,7.4,96.98,mango
103,46,58,32.21,57.24,6.25,78.6,muskmelon
37,58,15,22.98,31.43,6.04,79.8,pigeonpeas
24,60,29,34.49,35.7,6.57,73.28,mungbean
97,47,38,29.04,79.39,6.66,215.8,jute
13,149,103,28.18,58.18,7.24,74.25,grapes
36,18,37,25.66,90.01,6.75,220.21,coconut
115,45,31,24.14,70.38,7.53,97.65,cotton
25,59,18,23.33,33.29,6.36,138.43,pigeonpeas
85,50,58,20.36,80.62,6.9,283.54,rice
20,123,149,22.18,71.76,6.86,184.0,apple
32,26,20,24.8,49.76,5.96,63.97,pomegranate
71,47,37,31.76,79.84,6.05,150.51,jute
46,65,33,19.59,23.33,7.34,89.77,chickpea
112,44,23,33.5,66.71,7.17,129.87,cotton
96,17,25,18.4,85.06,5.42,162.68,coffee
26,40,47,24.27,56.47,6.17,146.94,mango
84,83,53,29.08,77.86,6.66,209.48,banana
42,48,43,25.76,78.82,6.85,161.21,papaya
33,122,159,16.04,83.68,6.3,143.84,apple
44,69,28,17.65,25.07,6.35,77.8,chickpea
70,38,50,22.31,86.62,5.31,222.17,rice
29,47,23,24.24,43.64,6.17,118.62,pigeonpeas
27,41,25,32.31,53.53,6.44,74.31,mothbeans
29,37,16,26.05,53.42,6.82,54.02,mungbean
116,34,25,19.84,88.24,6.06,230.81,coffee
21,19,25,20.47,68.14,5.98,66.8,pomegranate
37,139,171,24.71,66.26,7.34,95.0,grapes
21,52,18,30.71,26.48,6.56,40.94,mothbeans
96,26,39,24.95,81.58,6.13,246.7,coffee
94,59,24,20.44,71.1,6.32,61.52,maize
35,17,49,27.48,83.97,5.62,254.44,coconut
68,39,18,23.73,72.66,5.56,116.17,maize
43,46,22,20.71,37.73,7.08,69.91,chickpea
85,77,58,27.15,81.5,5.89,131.56,banana
80,35,47,20.45,77.38,5.24,247.38,rice
30,20,42,25.49,92.37,6.0,163.7,coconut
111,22,25,23.24,64.05,5.05,139.86,coffee
33,24,41,33.06,44.13,7.39,159.51,mango
71,62,47,32.3,74.33,7.29,79.58,muskmelon
33,136,152,22.58,63.54,6.75,205.84,apple
83,86,46,30.08,71.26,5.59,208.06,banana
33,60,29,31.6,26.55,6.51,117.48,pigeonpeas
41,47,16,29.02,56.95,6.9,87.45,blackgram
39,12,46,29.4,61.0,7.43,108.79,orange
28,57,23,18.45,32.03,6.36,71.01,chickpea
102,48,48,24.43,59.16,6.99,42.85,watermelon
100,72,52,29.55,74.41,7.13,181.26,banana
13,158,103,22.54,75.75,6.05,109.88,apple
30,56,30,22.56,24.71,6.9,59.5,chickpea
64,44,41,34.07,91.31,6.66,228.05,jute
16,49,39,27.7,45.14,6.76,75.92,pigeonpeas
35,14,44,23.8,58.88,7.17,123.2,orange
29,130,150,20.44,82.19,6.56,180.13,apple
33,9,38,24.23,73.43,5.85,158.16,coconut
47,75,70,30.57,72.21,6.39,197.95,papaya
99,60,67,28.32,78.85,6.33,76.06,watermelon
11,56,25,32.75,28.2,6.69,31.51,mothbeans
45,52,66,29.97,75.93,7.02,163.74,papaya
37,67,42,20.23,23.18,7.34,82.31,chickpea
31,24,34,27.8,69.13,7.43,65.07,pomegranate
36,54,40,21.62,30.86,7.6,65.84,chickpea
48,59,71,28.31,70.06,6.12,155.03,papaya
26,44,17,22.11,54.44,7.26,53.73,lentil
37,152,106,16.06,74.86,6.41,141.24,apple
26,26,33,21.1,44.58,7.46,91.74,pomegranate
41,48,34,19.05,39.07,6.97,82.24,chickpea
59,41,52,24.36,58.71,6.79,163.0,mango
33,63,33,24.36,27.42,7.98,84.06,chickpea
11,23,28,20.79,43.08,7.1,109.6,pomegranate
102,46,66,26.84,56.79,6.46,69.93,watermelon
34,57,25,24.96,42.01,6.44,88.47,kidneybeans
36,55,32,25.6,57.68,6.21,64.95,mungbean
108,56,58,29.6,60.93,6.53,61.82,muskmelon
100,44,62,28.37,57.89,6.25,69.87,watermelon
40,60,18,18.66,42.74,6.5,101.46,kidneybeans
97,57,69,27.6,50.55,6.82,65.34,muskmelon
55,29,33,26.28,55.11,6.13,147.73,mango
89,54,49,26.17,84.88,6.05,214.13,rice
29,62,29,32.62,62.47,6.68,71.68,blackgram
26,71,42,23.96,20.97,6.9,89.4,chickpea
120,51,39,30.7,90.51,6.07,135.88,banana
29,62,39,29.43,42.84,7.05,84.39,blackgram
17,49,35,25.2,54.92,6.62,85.69,pigeonpeas
50,44,64,30.84,79.29,7.29,148.64,papaya
15,64,21,28.11,46.2,6.72,85.03,pigeonpeas
29,56,28,32.84,53.94,6.62,97.48,mungbean
23,9,57,30.1,82.03,6.86,284.59,coconut
106,39,20,31.97,53.86,5.55,144.42,cotton
11,136,122,32.25,58.5,6.87,83.71,grapes
35,160,154,24.37,84.81,6.77,185.37,apple
15,41,24,27.11,31.18,7.42,35.95,lentil
109,51,69,29.79,77.58,6.23,109.96,banana
100,19,35,26.88,85.54,5.87,218.63,coffee
11,140,138,18.47,85.87,6.78,103.35,apple
33,22,23,26.75,61.47,7.09,84.62,pomegranate
37,108,166,19.1,89.72,6.21,183.08,apple
24,44,22,30.21,47.63,7.32,70.33,mungbean
75,54,57,30.53,50.96,6.7,76.23,muskmelon
80,41,50,28.88,81.17,6.23,152.54,jute
62,39,44,33.13,92.32,5.87,242.95,jute
38,64,29,24.29,48.63,6.0,105.13,pigeonpeas
86,21,27,25.01,89.59,5.88,187.36,coffee
16,69,33,20.13,40.73,5.92,103.64,kidneybeans
112,61,51,29.91,86.59,7.07,159.22,banana
95,45,35,21.95,64.42,6.43,78.08,maize
89,30,31,25.34,78.63,6.94,145.65,coffee
100,48,30,18.6,73.75,5.92,113.88,maize
37,44,35,26.63,36.9,5.76,129.22,pigeonpeas
35,36,48,27.77,44.32,5.64,138.89,mango
24,64,28,20.44,29.29,5.5,74.99,kidneybeans
22,19,20,32.29,47.59,6.58,97.41,pomegranate
115,60,50,31.52,50.59,6.97,69.22,watermelon
20,47,23,31.93,60.65,6.61,90.58,blackgram
89,58,38,22.06,57.83,7.47,110.33,maize
100,49,54,27.56,91.99,5.49,217.58,rice
21,58,16,25.92,25.7,7.19,37.52,mothbeans
42,52,24,18.41,22.79,6.27,73.38,kidneybeans
40,32,31,24.32,64.2,6.29,109.87,mango
132,39,25,25.53,53.75,5.81,130.58,cotton
69,50,44,23.02,72.78,7.42,121.77,papaya
38,38,34,31.84,38.61,6.07,53.78,mothbeans
113,42,37,22.71,50.3,6.87,98.11,cotton
25,54,22,31.28,37.68,6.22,96.28,mungbean
31,13,33,21.48,65.11,6.59,105.7,orange
87,26,34,20.82,60.6,6.08,244.36,coffee
23,36,16,33.34,34.72,6.09,71.89,blackgram
29,45,25,34.97,35.41,7.01,63.76,mungbean
76,58,44,29.05,94.54,5.9,159.79,jute
101,52,36,28.95,78.32,6.38,139.4,banana
33,64,21,27.96,47.26,7.2,93.81,pigeonpeas
60,80,68,26.01,86.31,7.17,101.54,papaya
32,146,172,19.09,88.59,6.8,144.48,apple
33,16,46,31.46,43.67,5.57,57.13,pomegranate
65,36,38,23.55,74.91,6.46,67.04,maize
45,47,28,31.32,43.15,6.71,96.39,mango
27,23,42,24.23,71.6,6.58,257.82,coconut
33,117,126,21.79,76.9,5.74,146.49,apple
15,59,21,20.03,38.82,6.61,36.58,lentil
82,30,35,22.38,76.64,6.6,199.37,coffee
24,35,17,27.59,20.97,7.26,51.32,mothbeans
14,51,22,29.95,39.41,6.97,60.46,lentil
21,11,27,25.44,73.11,7.33,171.04,coconut
31,49,38,31.41,42.47,7.05,53.3,blackgram
116,27,28,21.33,68.3,6.31,135.58,coffee
40,41,32,33.31,38.99,6.6,64.58,mungbean
122,61,36,25.67,61.43,5.71,141.53,cotton
95,40,40,29.07,64.65,5.55,81.22,watermelon
13,151,125,24.71,63.54,6.94,113.65,apple
21,123,108,33.29,52.73,6.8,70.66,grapes
30,16,37,30.69,88.96,6.14,165.45,coconut
25,156,147,25.77,63.63,5.92,50.19,grapes
111,50,47,25.86,73.25,5.76,67.23,watermelon
99,44,44,26.5,93.94,6.97,263.01,rice
25,19,36,31.13,68.48,5.86,87.96,mango
34,15,54,24.35,77.61,7.28,133.55,mango
73,42,48,24.87,72.94,5.85,266.21,jute
12,30,21,32.53,47.79,7.18,88.82,pomegranate
99,54,50,25.92,94.68,6.62,203.12,banana
25,110,178,17.16,77.96,7.33,76.27,grapes
89,37,40,18.87,85.87,5.78,188.13,coffee
11,20,16,21.26,81.69,5.09,101.98,orange
103,55,31,23.23,54.57,7.98,117.84,cotton
46,21,48,25.41,57.01,5.99,154.84,mango
62,75,62,25.1,85.53,6.84,120.68,papaya
83,40,48,25.36,71.13,6.74,34.71,muskmelon
16,52,23,29.02,50.96,7.79,75.46,mothbeans
116,31,32,24.68,73.48,6.38,129.06,coffee
21,54,38,18.61,31.84,7.94,53.76,chickpea
39,52,34,27.65,41.4,7.36,45.88,mothbeans
20,19,38,21.08,42.94,7.36,113.59,pomegranate
96,57,68,24.76,65.22,6.16,70.5,watermelon
12,36,29,29.58,27.93,7.23,42.64,mothbeans
131,40,31,23.11,73.41,6.23,72.65,cotton
50,74,77,32.74,70.02,6.41,154.92,papaya
93,54,58,34.85,78.13,7.22,93.35,watermelon
38,45,18,32.15,30.27,7.05,64.89,mothbeans
85,51,48,20.72,91.71,5.64,177.98,rice
11,22,44,27.55,85.86,7.16,214.15,coconut
30,49,24,27.76,46.9,6.45,64.62,mothbeans
18,40,28,31.34,40.77,6.03,66.44,mothbeans
91,38,39,22.08,60.9,5.65,70.19,maize
77,45,50,25.08,75.91,5.75,243.88,rice
78,39,35,24.24,60.52,5.66,100.83,maize
28,12,26,30.57,76.89,7.09,193.23,coconut
23,13,21,28.94,55.31,6.62,171.74,orange
35,18,29,28.37,45.65,5.67,50.1,pomegranate
19,54,26,23.24,36.28,6.43,77.62,kidneybeans
102,56,55,25.48,64.88,5.84,47.57,watermelon
28,50,34,31.72,49.25,7.21,97.03,mungbean
32,39,38,33.68,58.3,6.21,88.79,blackgram
83,51,46,22.35,81.57,6.35,262.86,rice
63,59,60,25.59,85.72,5.62,272.07,rice
101,65,37,25.87,52.72,6.45,85.62,cotton
122,42,39,32.36,57.39,5.88,128.53,cotton
35,59,34,22.25,27.65,6.9,89.47,pigeonpeas
20,19,45,29.16,68.02,5.33,101.51,orange
44,50,22,29.69,64.31,6.61,59.63,blackgram
25,50,18,27.57,46.6,6.17,55.87,lentil
84,88,64,31.95,71.95,5.71,173.92,banana
45,29,54,26.77,79.24,6.73,159.35,mango
87,37,36,22.46,67.01,6.68,109.48,maize
11,153,136,20.89,64.18,5.51,136.79,apple
11,10,44,27.16,39.58,5.97,115.28,pomegranate
57,34,41,25.55,40.03,7.12,88.76,mango
121,41,28,32.86,63.47,7.08,104.1,cotton
38,36,18,33.86,48.34,6.85,79.78,mungbean
32,56,22,21.87,44.08,6.7,74.35,pigeonpeas
35,65,21,17.68,32.91,6.14,52.85,chickpea
30,152,135,19.13,82.93,6.37,110.65,apple
91,38,36,27.01,76.73,7.14,256.6,jute
33,62,20,27.05,46.03,6.86,92.65,pigeonpeas
102,19,24,27.31,64.38,6.26,197.08,coffee
82,27,34,19.51,78.35,5.48,232.76,coffee
91,24,20,23.86,70.44,6.31,122.03,coffee
54,49,65,28.62,89.75,7.47,163.5,papaya
20,46,30,19.59,41.41,7.09,39.03,lentil
28,138,151,27.57,66.61,7.47,86.61,grapes
98,41,47,22.41,80.7,5.07,241.43,rice
31,39,13,30.62,54.41,5.98,165.14,orange
22,45,31,25.14,55.98,7.0,87.92,mungbean
57,45,29,32.56,64.34,7.44,117.36,mango
35,63,23,22.51,29.88,6.57,69.96,kidneybeans
33,156,120,26.54,58.24,7.15,50.27,grapes
23,36,30,32.02,43.25,7.01,63.76,mungbean
28,39,50,23.21,60.46,7.15,179.86,orange
33,51,32,30.05,30.09,5.54,122.33,pigeonpeas
88,67,57,24.82,82.59,5.87,186.1,banana
99,47,43,25.07,79.8,5.15,169.33,rice
24,43,21,26.23,43.23,5.99,64.62,pigeonpeas
28,29,36,26.0,68.38,6.78,70.87,pomegranate
60,57,46,24.04,80.04,5.87,243.66,jute
83,43,41,30.83,56.9,6.22,62.69,muskmelon
22,58,36,26.82,47.21,6.33,85.33,blackgram
75,53,59,27.4,64.47,7.44,140.43,papaya
74,70,62,26.71,70.95,7.32,103.92,papaya
28,30,25,23.38,42.41,7.09,63.08,pomegranate
40,53,35,24.24,30.85,6.86,78.87,kidneybeans
23,57,40,18.63,28.88,7.47,74.64,chickpea
20,36,23,33.02,43.65,6.67,80.54,mungbean
38,57,28,33.08,32.76,6.5,58.82,mungbean
40,19,21,27.34,67.92,7.08,109.58,mango
37,56,28,21.38,43.17,5.73,86.98,pigeonpeas
106,57,42,33.21,64.79,7.27,60.04,muskmelon
43,44,60,28.28,41.9,7.1,140.44,mango
23,48,32,34.96,40.4,7.62,46.35,mothbeans
31,54,36,30.87,25.36,6.85,64.15,pigeonpeas
81,64,42,32.09,65.96,6.72,41.17,muskmelon
67,52,45,27.49,77.75,5.68,167.02,rice
28,10,36,20.56,54.92,7.34,117.79,pomegranate
90,49,50,31.94,72.79,7.28,78.64,muskmelon
36,59,26,27.33,29.81,6.85,74.34,pigeonpeas
27,117,175,22.62,89.18,5.56,142.77,apple
27,60,30,27.49,51.54,7.49,91.45,mungbean
65,52,48,26.18,85.4,6.7,232.79,rice
17,47,25,20.07,25.81,5.92,100.17,kidneybeans
33,134,156,24.24,81.37,6.05,206.95,apple
71,41,59,23.14,92.84,6.26,269.22,rice
58,32,34,34.17,40.98,6.66,134.89,mango
67,78,67,33.33,84.82,6.54,160.01,papaya
30,52,17,34.39,26.34,7.25,41.13,mothbeans
139,54,34,23.09,49.82,7.33,93.14,cotton
22,11,37,32.62,69.89,6.36,72.42,pomegranate
33,51,24,24.77,32.93,5.91,98.64,pigeonpeas
43,56,63,33.11,89.23,6.66,106.04,papaya
23,57,33,29.04,27.85,7.09,68.32,lentil
74,52,29,20.4,76.97,7.09,99.51,maize
35,46,24,24.89,39.13,6.01,88.07,chickpea
80,47,47,29.91,76.17,7.07,59.0,muskmelon
105,63,33,31.64,59.98,6.69,61.0,cotton
42,47,33,19.31,41.45,6.73,87.04,kidneybeans
40,75,21,24.82,25.17,7.74,81.3,chickpea
17,49,33,28.96,41.85,6.22,49.09,mungbean
99,37,42,26.67,76.21,6.26,272.72,jute
87,56,49,29.13,85.92,6.1,177.39,jute
18,23,42,26.54,53.87,6.57,98.67,orange
115,46,42,32.67,75.06,5.83,91.26,watermelon
23,33,25,21.42,75.52,6.05,178.14,orange
15,127,133,28.75,57.5,6.78,93.87,grapes
99,53,45,31.69,94.99,6.92,264.25,jute
26,41,21,20.4,51.38,5.99,104.59,pigeonpeas
